ARCID,ATYP,ADEP,ADES,RM,ARF,ETD,TT,ETA,recat,size_seats_avg,minutes_eta,minutes_etd,minutes_tt,is_ecac,airline,distancia_km,is_departed,is_inside_radius,is_gpd_candidate,flight_status,assigned_slot,total_delay,air_delay,ground_delay
VLG26NX,A320,LEMG,LEBL,ECMEA,360,4:45:00,15,6:00:00,D,173.0,360.0,285.0,15.0,True,VLG,740.1826666666667,False,True,True,GPD CANDIDATE,363.0,3.0,0.0,3.0
VLG6HA,A320,LEZL,LEBL,ECOKH,340,4:49:00,10,6:00:00,D,173.0,360.0,289.0,10.0,True,VLG,753.764,False,True,True,GPD CANDIDATE,375.0,15.0,0.0,15.0
VLG6XL,A320,LEPA,LEBL,ECOGC,180,5:42:00,17,6:00:00,D,173.0,360.0,342.0,17.0,True,VLG,0.0,False,True,True,GPD CANDIDATE,378.0,18.0,0.0,18.0
FIA511,A320,LUKK,LEBL,ER00008,360,2:45:00,15,6:00:00,D,173.0,360.0,165.0,15.0,True,FIA,2369.9426666666664,True,True,False,EXEMPT AIRBORNE,360.0,0.0,0.0,0.0
RYR47WZ,B38M,EYVI,LEBL,SPRZK,380,2:55:00,10,6:05:00,D,189.0,365.0,175.0,10.0,True,RYR,2369.9426666666664,True,True,False,EXEMPT AIRBORNE,366.0,1.0,1.0,0.0
LHX93U,A20N,EDDM,LEBL,DAIJN,370,4:34:00,12,6:05:00,D,180.0,365.0,274.0,12.0,True,LHX,998.2280000000001,False,True,True,GPD CANDIDATE,381.0,16.0,0.0,16.0
RYR4VD,B738,LEZL,LEBL,9HQEU,380,4:37:00,10,6:05:00,D,184.0,365.0,277.0,10.0,True,RYR,984.6466666666666,False,True,True,GPD CANDIDATE,384.0,19.0,0.0,19.0
TRA5B,B738,EHAM,LEBL,PHHSI,390,4:12:00,15,6:05:00,D,184.0,365.0,252.0,15.0,True,TRA,1256.2733333333335,False,True,True,GPD CANDIDATE,393.0,28.0,0.0,28.0
CPA321,A359,VHHH,LEBL,BLRC,400,16:35:00,10,6:05:00,B,297.0,365.0,995.0,10.0,False,CPA,11526.076333333334,False,False,False,EXEMPT INTERNATIONAL,369.0,4.0,4.0,0.0
RYR1VJ,B738,LEPA,LEBL,9HQAD,180,5:46:00,16,6:10:00,D,184.0,370.0,346.0,16.0,True,RYR,33.95333333333333,False,True,True,GPD CANDIDATE,405.0,35.0,0.0,35.0
EWG4214,A320,LKPR,LEBL,9HEUN,370,4:24:00,16,6:10:00,D,173.0,370.0,264.0,16.0,True,EWG,1147.6226666666669,False,True,True,GPD CANDIDATE,408.0,38.0,0.0,38.0
DAL128,B764,KJFK,LEBL,N841MH,370,22:00:00,30,6:10:00,C,245.0,370.0,1320.0,30.0,False,DAL,6453.294,False,False,False,EXEMPT INTERNATIONAL,372.0,2.0,2.0,0.0
RYR17MW,B738,LHBP,LEBL,SPRSI,370,4:10:00,10,6:15:00,D,184.0,375.0,250.0,10.0,True,RYR,1487.1560000000002,False,True,True,GPD CANDIDATE,411.0,36.0,0.0,36.0
WMT2NV,A21N,LOWW,LEBL,9HWAO,350,4:29:00,15,6:15:00,D,220.0,375.0,269.0,15.0,True,WMT,1161.204,False,True,True,GPD CANDIDATE,414.0,39.0,0.0,39.0
RYR6882,B738,LEMH,LEBL,EIDCN,180,5:55:00,10,6:20:00,D,184.0,380.0,355.0,10.0,True,RYR,129.02266666666665,False,True,True,GPD CANDIDATE,417.0,37.0,0.0,37.0
UAL992,B789,KIAD,LEBL,N24974,400,22:50:00,20,6:25:00,B,284.0,385.0,1370.0,20.0,False,UAL,6230.899666666667,False,False,False,EXEMPT INTERNATIONAL,387.0,2.0,2.0,0.0
IBE04TP,A321,LEMD,LEBL,ECJZM,260,5:26:00,16,6:25:00,D,207.0,385.0,326.0,16.0,True,IBE,509.3,False,True,True,GPD CANDIDATE,423.0,38.0,0.0,38.0
RYR519Z,B738,EVRA,LEBL,SPRKS,370,3:11:00,9,6:25:00,D,184.0,385.0,191.0,9.0,True,RYR,2437.849333333333,True,True,False,EXEMPT AIRBORNE,390.0,5.0,5.0,0.0
VLG1423,A320,LEBB,LEBL,ECJYX,300,5:32:00,7,6:25:00,D,173.0,385.0,332.0,7.0,True,VLG,550.044,False,True,True,GPD CANDIDATE,432.0,47.0,0.0,47.0
WZZ9AR,A21N,EPWA,LEBL,9HWDT,370,4:01:00,16,6:30:00,D,220.0,390.0,241.0,16.0,True,WZZ,1731.6200000000001,False,True,True,GPD CANDIDATE,438.0,48.0,0.0,48.0
RYR11SX,B38M,EPKK,LEBL,SPRZI,350,4:23:00,15,6:30:00,D,189.0,390.0,263.0,15.0,True,RYR,1446.412,False,True,True,GPD CANDIDATE,444.0,54.0,0.0,54.0
KLM1497,E190,EHAM,LEBL,DACJJ,390,4:50:00,18,6:30:00,E,104.0,390.0,290.0,18.0,True,KLM,755.616,False,True,True,GPD CANDIDATE,453.0,63.0,0.0,63.0
UAL120,B772,KEWR,LEBL,N795UA,390,23:25:00,10,6:35:00,B,296.0,395.0,1405.0,10.0,False,UAL,6013.289666666667,False,False,False,EXEMPT INTERNATIONAL,396.0,1.0,1.0,0.0
UAE81W,B77L,OMDB,LEBL,A6EWJ,380,23:35:00,10,6:35:00,B,317.0,395.0,1415.0,10.0,False,UAE,5868.216333333333,False,False,False,EXEMPT INTERNATIONAL,399.0,4.0,4.0,0.0
AAL742,B789,KPHL,LEBL,N820AL,410,23:55:00,40,6:35:00,B,284.0,395.0,1435.0,40.0,False,AAL,5142.849666666667,False,False,False,EXEMPT INTERNATIONAL,402.0,7.0,7.0,0.0
AEA58PB,B789,LEMD,LEBL,ECOFP,300,5:49:00,19,6:40:00,B,284.0,400.0,349.0,19.0,True,AEA,384.4443333333333,False,True,True,GPD CANDIDATE,456.0,56.0,0.0,56.0
NSZ56V,B38M,EKCH,LEBL,SENAA,410,4:23:00,10,6:40:00,D,189.0,400.0,263.0,10.0,True,NSZ,1650.132,False,True,True,GPD CANDIDATE,459.0,59.0,0.0,59.0
VLG684H,A320,LEPA,LEBL,ECMAI,180,6:17:00,17,6:40:00,D,173.0,400.0,377.0,17.0,True,VLG,6.790666666666667,False,True,True,GPD CANDIDATE,465.0,65.0,0.0,65.0
SWR4XH,A321,LSZH,LEBL,HBIOM,350,5:23:00,13,6:45:00,D,207.0,405.0,323.0,13.0,True,SWR,862.4146666666668,False,True,True,GPD CANDIDATE,468.0,63.0,0.0,63.0
SEU403,A21N,LUKK,LEBL,9HPEC,370,3:55:00,15,6:45:00,D,220.0,405.0,235.0,15.0,True,SEU,2030.4093333333333,False,True,True,GPD CANDIDATE,474.0,69.0,0.0,69.0
AUA391A,A320,LOWW,LEBL,OELBS,370,5:07:00,10,6:45:00,D,173.0,405.0,307.0,10.0,True,AUA,1120.46,False,True,True,GPD CANDIDATE,477.0,72.0,0.0,72.0
WMT6025,A21N,LIRF,LEBL,9HWNQ,340,5:40:00,15,6:50:00,D,220.0,410.0,340.0,15.0,True,WMT,672.2760000000001,False,True,True,GPD CANDIDATE,480.0,70.0,0.0,70.0
WZZ2407,A21N,EPWR,LEBL,9HWMG,370,4:44:00,9,6:55:00,D,220.0,415.0,284.0,9.0,True,WZZ,1582.2253333333335,False,True,True,GPD CANDIDATE,483.0,68.0,0.0,68.0
AFR17ZG,A321,LFPG,LEBL,FGTAP,330,5:30:00,13,6:55:00,D,207.0,415.0,330.0,13.0,True,AFR,903.1586666666667,False,True,True,GPD CANDIDATE,486.0,71.0,0.0,71.0
VLG36GQ,A320,EHAM,LEBL,ECMVE,390,5:09:00,10,6:55:00,D,173.0,415.0,309.0,10.0,True,VLG,1229.1106666666667,False,True,True,GPD CANDIDATE,489.0,74.0,0.0,74.0
ELY393,B739,LLBG,LEBL,4XEHB,360,3:19:00,15,7:00:00,D,183.0,420.0,199.0,15.0,False,ELY,2723.0573333333336,True,True,False,EXEMPT INTERNATIONAL,420.0,0.0,0.0,0.0
RYR95TH,B738,EGSS,LEBL,EIDWM,350,5:14:00,14,7:00:00,D,184.0,420.0,314.0,14.0,True,RYR,1174.7853333333335,False,True,True,GPD CANDIDATE,492.0,72.0,0.0,72.0
WMT641,A321,LATI,LEBL,HALTC,370,4:49:00,5,7:00:00,D,207.0,420.0,289.0,5.0,True,WMT,1636.5506666666668,False,True,True,GPD CANDIDATE,495.0,75.0,0.0,75.0
VLG4TJ,A321,LEPA,LEBL,ECMLD,180,6:42:00,17,7:05:00,D,207.0,425.0,402.0,17.0,True,VLG,6.790666666666667,False,True,True,GPD CANDIDATE,498.0,73.0,0.0,73.0
WZZ636,A21N,LHBP,LEBL,9HWDJ,350,5:10:00,10,7:05:00,D,220.0,425.0,310.0,10.0,True,WZZ,1351.342666666667,False,True,True,GPD CANDIDATE,501.0,76.0,0.0,76.0
MAC377C,A320,GMTT,LEBL,CNNML,380,5:45:00,15,7:05:00,D,173.0,425.0,345.0,15.0,False,MAC,808.0893333333335,False,True,False,EXEMPT INTERNATIONAL,426.0,1.0,1.0,0.0
VLG7481,A320,DAOO,LEBL,ECODN,300,6:13:00,8,7:05:00,D,173.0,425.0,373.0,8.0,False,VLG,522.8813333333334,False,True,False,EXEMPT INTERNATIONAL,429.0,4.0,4.0,0.0
